date,cases,deaths,new_cases,new_deaths,cases_7day_avg,deaths_7day_avg,fatality_rate
2021-09-25,42984802,686064,61915.0,852.0,117136.85714285714,2099.5714285714284,1.5960617894668911
2021-09-26,43040459,686657,55657.0,593.0,115743.85714285714,2092.285714285714,1.5953756441119737
2021-09-27,43194360,688910,153901.0,2253.0,113039.71428571429,2023.2857142857142,1.5949072980824348
2021-09-28,43307569,691427,113209.0,2517.0,110220.14285714286,1972.7142857142858,1.5965500164647892
2021-09-29,43429449,694065,121880.0,2638.0,108488.85714285714,1976.4285714285713,1.5981436927739976
2021-09-30,43539596,696889,110147.0,2824.0,107143.28571428571,1968.7142857142858,1.6005867394819189
2021-10-01,43694428,699021,154832.0,2132.0,105238.0,1922.857142857143,1.5997943719505838
2021-10-02,43744224,699899,49796.0,878.0,102716.42857142857,1832.4285714285713,1.5999803768378655
2021-10-03,43790462,700438,46238.0,539.0,101412.0,1835.7142857142858,1.5995218319459614
2021-10-04,43931026,702370,140564.0,1932.0,100120.71428571429,1785.0,1.5988017215896575
2021-10-05,44026584,704254,95558.0,1884.0,96653.42857142857,1738.4285714285713,1.599610816955501
2021-10-06,44139333,706915,112749.0,2661.0,95308.28571428571,1677.857142857143,1.6015534262830842
2021-10-07,44240441,709384,101108.0,2469.0,94562.71428571429,1670.857142857143,1.6034740702516956
2021-10-08,44371002,711190,130561.0,1806.0,87745.57142857143,1563.857142857143,1.6028260979997704
2021-10-09,44411382,711644,40380.0,454.0,89952.28571428571,1620.7142857142858,1.602391026696715
2021-10-10,44452401,712134,41019.0,490.0,89319.14285714286,1695.5714285714287,1.6020147033227745
2021-10-11,44545245,713317,92844.0,1183.0,87187.14285714286,1655.857142857143,1.6013314103446956
2021-10-12,44656250,715599,111005.0,2282.0,84071.42857142857,1658.142857142857,1.602461021693492
2021-10-13,44764567,718784,108317.0,3185.0,84215.71428571429,1678.857142857143,1.6056985427782648
2021-10-14,44850751,720975,86184.0,2191.0,83097.42857142857,1677.2857142857142,1.6074981665301433
2021-10-15,44959502,722797,108751.0,1822.0,83638.42857142857,1760.7142857142858,1.6076623802461159
2021-10-16,45000892,723396,41390.0,599.0,79584.85714285714,1710.142857142857,1.6075148021510328
2021-10-17,45034083,723875,33191.0,479.0,77287.14285714286,1711.0,1.6073936711445862
2021-10-18,45130714,725642,96631.0,1767.0,76022.57142857143,1686.7142857142858,1.6078673162582804
2021-10-19,45213344,727570,82630.0,1928.0,74186.57142857143,1694.142857142857,1.609193073620036
2021-10-20,45305577,730761,92233.0,3191.0,73178.14285714286,1690.7142857142858,1.612960364680931
2021-10-21,45382909,732782,77332.0,2021.0,71432.42857142857,1662.7142857142858,1.6146651154512814
2021-10-22,45478808,734656,95899.0,1874.0,73267.0,1618.2857142857142,1.6153809484188768
2021-10-23,45513139,735231,34331.0,575.0,71129.28571428571,1572.5714285714287,1.6154258224202027
2021-10-24,45534110,735514,20971.0,283.0,72591.28571428571,1409.857142857143,1.6153033407263258
2021-10-25,45643583,736970,109473.0,1456.0,72195.0,1386.857142857143,1.614619080189213
2021-10-26,45711249,738578,67666.0,1608.0,72026.14285714286,1366.857142857143,1.615746706024156
2021-10-27,45813716,740630,102467.0,2052.0,72313.0,1342.142857142857,1.61661193342186
2021-10-28,45888274,742490,74558.0,1860.0,74178.71428571429,1338.857142857143,1.6180386300866316
